epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
77,603.917,1.11798,1.62511,0.00168,0.40622,0.43909,0.46427,0.34572,0.91833,1.60058,0.00177,0.000998928,0.000998928,0.000998928
78,608.574,1.05312,1.3669,0.00151,0.42407,0.45813,0.47952,0.34479,0.93735,1.56949,0.00179,0.000993269,0.000993269,0.000993269
79,611.844,1.05846,1.42667,0.00161,0.42407,0.45813,0.47952,0.34479,0.93735,1.56949,0.00179,0.00098761,0.00098761,0.00098761
80,615.8,1.14938,1.56614,0.00165,0.45498,0.44978,0.49015,0.34545,0.9449,1.5517,0.00176,0.000981952,0.000981952,0.000981952
81,620.515,1.18501,1.22087,0.00145,0.45498,0.44978,0.49015,0.34545,0.9449,1.5517,0.00176,0.000976293,0.000976293,0.000976293
82,623.943,1.21484,1.39401,0.0016,0.47289,0.41571,0.49421,0.35629,0.89863,1.49372,0.00173,0.000970634,0.000970634,0.000970634
83,627.777,0.98554,1.33859,0.00147,0.47289,0.41571,0.49421,0.35629,0.89863,1.49372,0.00173,0.000964975,0.000964975,0.000964975
84,631.224,1.04292,1.19266,0.00149,0.454,0.44922,0.49526,0.36686,0.85352,1.46932,0.00163,0.000959316,0.000959316,0.000959316
85,635.299,1.08841,1.32793,0.00157,0.454,0.44922,0.49526,0.36686,0.85352,1.46932,0.00163,0.000953657,0.000953657,0.000953657
86,638.988,1.17296,1.32305,0.00165,0.44563,0.46303,0.49852,0.3714,0.88374,1.43886,0.00168,0.000947999,0.000947999,0.000947999
87,642.262,1.08545,1.36831,0.00157,0.44563,0.46303,0.49852,0.3714,0.88374,1.43886,0.00168,0.00094234,0.00094234,0.00094234
88,646.429,1.09319,1.25089,0.00143,0.43727,0.4708,0.5028,0.38499,0.82151,1.43985,0.00158,0.000936681,0.000936681,0.000936681
89,650.458,1.07305,1.39632,0.00147,0.43727,0.4708,0.5028,0.38499,0.82151,1.43985,0.00158,0.000931022,0.000931022,0.000931022
90,654.191,1.09908,1.23956,0.00138,0.4485,0.47446,0.50371,0.3839,0.85319,1.42855,0.00161,0.000925363,0.000925363,0.000925363
91,657.604,1.01677,1.40683,0.00145,0.4485,0.47446,0.50371,0.3839,0.85319,1.42855,0.00161,0.000919704,0.000919704,0.000919704
92,662.072,0.98953,1.18948,0.00128,0.47468,0.44434,0.50279,0.3818,0.92025,1.43641,0.00167,0.000914046,0.000914046,0.000914046
93,665.525,1.00471,1.41694,0.0015,0.47468,0.44434,0.50279,0.3818,0.92025,1.43641,0.00167,0.000908387,0.000908387,0.000908387
