epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,501.469,0.71528,0.61843,0.83516,0.86648,0.51754,0.55711,0.41598,0.83629,0.7794,0.87185,0.0010025,0.0010025,0.0010025
62,510.154,0.74097,0.63355,0.83061,0.53274,0.53154,0.54442,0.40024,0.89742,0.78842,0.88165,0.000998375,0.000998375,0.000998375
63,518.213,0.78861,0.65273,0.83869,0.85715,0.47659,0.55664,0.4069,0.84046,0.75574,0.87194,0.00099425,0.00099425,0.00099425
64,524.867,0.76958,0.65854,0.83121,0.77612,0.54469,0.56638,0.41375,0.8334,0.70531,0.86478,0.000990125,0.000990125,0.000990125
65,532.87,0.73794,0.8029,0.83589,0.76869,0.54469,0.57156,0.41834,0.81466,0.72287,0.86319,0.000986,0.000986,0.000986
66,539.869,0.74385,0.61977,0.83238,0.53269,0.76123,0.57194,0.41883,0.89165,0.81655,0.88497,0.000981875,0.000981875,0.000981875
67,548.485,0.74906,0.6225,0.82703,0.61397,0.74941,0.59523,0.42657,0.84306,0.75145,0.88388,0.00097775,0.00097775,0.00097775
68,555.494,0.74483,0.60305,0.8297,0.61889,0.75579,0.60532,0.41848,0.84707,0.70265,0.87839,0.000973625,0.000973625,0.000973625
69,563.444,0.71872,0.65379,0.83445,0.71321,0.7577,0.76796,0.44943,0.81931,0.69566,0.86788,0.0009695,0.0009695,0.0009695
70,570.228,0.72667,0.62697,0.83403,0.78095,0.53357,0.56639,0.40586,0.82519,0.7225,0.86862,0.000965375,0.000965375,0.000965375
71,577.637,0.75972,0.62593,0.83321,0.76538,0.52634,0.54044,0.40188,0.81823,0.71789,0.87032,0.00096125,0.00096125,0.00096125
72,586.091,0.75863,0.60894,0.82977,0.43097,0.59589,0.52702,0.38303,0.85198,0.73648,0.8751,0.000957125,0.000957125,0.000957125
73,592.549,0.75052,0.62175,0.8312,0.45387,0.49492,0.49628,0.38549,0.83917,0.73406,0.87103,0.000953,0.000953,0.000953
