epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
80,879.984,0.77947,0.67554,0.00114,0.50008,0.71325,0.61901,0.42501,0.92584,0.82284,0.00174,0.000924125,0.000924125,0.000924125
81,890.89,0.79168,0.65327,0.00111,0.52142,0.82801,0.62857,0.42103,0.96215,0.82053,0.00182,0.00092,0.00092,0.00092
82,902.593,0.81734,0.63843,0.00108,0.65186,0.77508,0.66903,0.43082,0.95531,0.81126,0.00176,0.000915875,0.000915875,0.000915875
83,912.54,0.91504,0.77442,0.00123,0.6232,0.78089,0.66923,0.4323,0.96157,0.79701,0.00177,0.00091175,0.00091175,0.00091175
84,923.372,0.79647,0.6449,0.00111,0.57083,0.81146,0.59645,0.41748,0.90324,0.77038,0.00173,0.000907625,0.000907625,0.000907625
85,934.987,0.85308,0.65946,0.00118,0.57074,0.78965,0.59491,0.42078,0.89105,0.77765,0.00168,0.0009035,0.0009035,0.0009035
86,945.296,0.7795,0.61427,0.00107,0.49534,0.74224,0.57224,0.40459,0.96955,0.79048,0.00182,0.000899375,0.000899375,0.000899375
87,955.028,0.75316,0.55966,0.00106,0.53578,0.5715,0.56817,0.41765,0.92217,0.74574,0.00174,0.00089525,0.00089525,0.00089525
88,966.581,0.83969,0.64546,0.00122,0.51771,0.54397,0.56713,0.42257,0.86653,0.73309,0.00168,0.000891125,0.000891125,0.000891125
89,977.325,0.75419,0.60832,0.0011,0.55259,0.53936,0.56859,0.41912,0.91253,0.74785,0.00174,0.000887,0.000887,0.000887
90,988.299,0.78832,0.59103,0.00107,0.52685,0.53936,0.56491,0.41816,0.92382,0.7769,0.00173,0.000882875,0.000882875,0.000882875
91,998.169,0.7942,0.59849,0.00111,0.56344,0.57022,0.58781,0.42674,0.88841,0.71446,0.0017,0.00087875,0.00087875,0.00087875
92,1009.1,0.79467,0.60462,0.00109,0.60083,0.57801,0.64915,0.44085,0.96425,0.71434,0.00181,0.000874625,0.000874625,0.000874625
93,1018.62,0.74263,0.55542,0.00109,0.60782,0.79463,0.69216,0.45011,0.94052,0.70275,0.00175,0.0008705,0.0008705,0.0008705
94,1030.39,0.76521,0.57897,0.00112,0.5749,0.82634,0.67488,0.44824,0.89871,0.69178,0.00171,0.000866375,0.000866375,0.000866375
95,1041.65,0.84244,0.66312,0.00115,0.62383,0.82801,0.67092,0.44013,0.9225,0.69491,0.00175,0.00086225,0.00086225,0.00086225
96,1052.87,0.75739,0.61448,0.00113,0.67915,0.82254,0.7893,0.46404,0.91808,0.74206,0.0017,0.000858125,0.000858125,0.000858125
97,1063.11,0.79128,0.59214,0.00114,0.74142,0.77195,0.78467,0.46219,0.92228,0.78684,0.00169,0.000854,0.000854,0.000854
98,1074.53,0.84277,0.6535,0.00115,0.76368,0.74831,0.78826,0.44799,0.99198,0.76672,0.00183,0.000849875,0.000849875,0.000849875
99,1083.45,0.76124,0.55637,0.00111,0.78657,0.70046,0.78557,0.49033,0.89482,0.7234,0.0017,0.00084575,0.00084575,0.00084575
100,1093.84,0.77419,0.61434,0.00113,0.58951,0.72513,0.78078,0.48227,0.92947,0.73321,0.00174,0.000841625,0.000841625,0.000841625
101,1105.69,0.80152,0.5635,0.00111,0.58145,0.78382,0.60959,0.42859,0.93453,0.74122,0.00172,0.0008375,0.0008375,0.0008375
102,1115.55,0.75118,0.63853,0.00124,0.48943,0.83912,0.57855,0.43178,0.86885,0.71383,0.00166,0.000833375,0.000833375,0.000833375
103,1126.18,0.80058,0.56287,0.00115,0.5216,0.711,0.61917,0.43127,0.94723,0.76803,0.00176,0.00082925,0.00082925,0.00082925
104,1137.09,0.78324,0.69764,0.00117,0.55398,0.54878,0.61334,0.44175,0.9089,0.72709,0.0017,0.000825125,0.000825125,0.000825125
105,1148.02,0.82154,0.62018,0.00107,0.52922,0.78331,0.63477,0.4426,0.9384,0.70562,0.0017,0.000821,0.000821,0.000821
106,1159.35,0.79613,0.57591,0.0011,0.49144,0.84481,0.6431,0.4474,0.93553,0.66969,0.00172,0.000816875,0.000816875,0.000816875
107,1167.93,0.70645,0.56408,0.00107,0.84309,0.51702,0.60905,0.45296,0.87743,0.63087,0.00166,0.00081275,0.00081275,0.00081275
