epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,858.586,0.65135,0.55815,0.82655,0.57325,0.80588,0.62349,0.42716,0.86395,0.67898,0.85664,0.000924125,0.000924125,0.000924125
81,867.435,0.6683,0.54305,0.82275,0.50658,0.82246,0.57837,0.4252,0.836,0.67158,0.85181,0.00092,0.00092,0.00092
82,879.041,0.74288,0.57011,0.82875,0.52555,0.54013,0.56226,0.4081,0.87063,0.68979,0.85473,0.000915875,0.000915875,0.000915875
83,887.015,0.75004,0.58981,0.83709,0.85296,0.5006,0.57272,0.412,0.89191,0.70698,0.85796,0.00091175,0.00091175,0.00091175
84,896.903,0.75402,0.56155,0.83181,0.53388,0.57923,0.57892,0.41799,0.83717,0.64593,0.85236,0.000907625,0.000907625,0.000907625
85,906.843,0.71074,0.55006,0.82457,0.50262,0.5779,0.56013,0.41333,0.8359,0.65167,0.85033,0.0009035,0.0009035,0.0009035
86,916.963,0.72185,0.56675,0.82302,0.52652,0.83333,0.58622,0.41615,0.91152,0.66443,0.85586,0.000899375,0.000899375,0.000899375
87,926.23,0.68747,0.52524,0.82211,0.57486,0.82566,0.62931,0.43914,0.8414,0.64199,0.85443,0.00089525,0.00089525,0.00089525
88,936.792,0.72395,0.56218,0.83297,0.55896,0.8279,0.62563,0.4357,0.84158,0.61862,0.85746,0.000891125,0.000891125,0.000891125
89,947.653,0.67739,0.55589,0.82527,0.65014,0.8279,0.66138,0.44564,0.83234,0.60924,0.85643,0.000887,0.000887,0.000887
90,956.974,0.69989,0.53595,0.82552,0.64619,0.82758,0.65742,0.43945,0.81245,0.60972,0.85755,0.000882875,0.000882875,0.000882875
91,967.27,0.68081,0.53004,0.82389,0.51867,0.82118,0.60139,0.42806,0.83962,0.62455,0.85866,0.00087875,0.00087875,0.00087875
92,976.896,0.69495,0.53282,0.8261,0.55181,0.8279,0.61866,0.43728,0.81845,0.60085,0.85797,0.000874625,0.000874625,0.000874625
93,986.963,0.63354,0.49686,0.81614,0.56322,0.83029,0.61932,0.43722,0.83408,0.62023,0.85388,0.0008705,0.0008705,0.0008705
94,996.017,0.66544,0.52255,0.82112,0.55865,0.82246,0.6105,0.43913,0.79704,0.61237,0.85134,0.000866375,0.000866375,0.000866375
95,1007.39,0.68374,0.54127,0.82591,0.59724,0.79575,0.63504,0.44382,0.84221,0.62391,0.85634,0.00086225,0.00086225,0.00086225
96,1017.22,0.64576,0.5127,0.82149,0.62355,0.82246,0.61565,0.44126,0.84793,0.62413,0.8563,0.000858125,0.000858125,0.000858125
97,1027.03,0.63735,0.50801,0.81711,0.66318,0.73966,0.65566,0.45341,0.80079,0.62098,0.8532,0.000854,0.000854,0.000854
98,1036.73,0.73747,0.54984,0.82639,0.64097,0.74211,0.63794,0.42085,0.95374,0.71708,0.87049,0.000849875,0.000849875,0.000849875
99,1045.67,0.69956,0.53832,0.82992,0.77323,0.72442,0.6523,0.45709,0.82008,0.66911,0.85645,0.00084575,0.00084575,0.00084575
100,1054.95,0.70531,0.54046,0.82528,0.80829,0.71881,0.78916,0.48596,0.82017,0.6442,0.85868,0.000841625,0.000841625,0.000841625
101,1066.82,0.71673,0.53794,0.82346,0.74342,0.72937,0.7898,0.48076,0.85157,0.6549,0.86315,0.0008375,0.0008375,0.0008375
102,1077.39,0.64233,0.5828,0.83119,0.66036,0.74028,0.66866,0.45356,0.85309,0.6593,0.86179,0.000833375,0.000833375,0.000833375
103,1087.41,0.6488,0.50679,0.81914,0.66329,0.789,0.67476,0.46721,0.80571,0.62165,0.85177,0.00082925,0.00082925,0.00082925
104,1097.14,0.66412,0.56197,0.82714,0.73432,0.79252,0.68138,0.46404,0.83685,0.60946,0.85871,0.000825125,0.000825125,0.000825125
105,1107.24,0.7036,0.52591,0.82537,0.70697,0.79469,0.68239,0.45407,0.81148,0.60321,0.85657,0.000821,0.000821,0.000821
106,1117.09,0.66322,0.5235,0.81981,0.58021,0.80556,0.63803,0.44801,0.83191,0.64284,0.85994,0.000816875,0.000816875,0.000816875
107,1125.69,0.63822,0.51486,0.81991,0.86793,0.57018,0.60301,0.45248,0.80606,0.62694,0.85187,0.00081275,0.00081275,0.00081275
108,1136.99,0.63319,0.54648,0.82456,0.87675,0.57333,0.58528,0.44527,0.78101,0.59375,0.8524,0.000808625,0.000808625,0.000808625
109,1146.82,0.66983,0.52203,0.81977,0.61989,0.57222,0.59131,0.44288,0.83268,0.61094,0.85608,0.0008045,0.0008045,0.0008045
110,1156.42,0.64388,0.49257,0.81305,0.55781,0.83548,0.6005,0.42465,0.84547,0.63588,0.8643,0.000800375,0.000800375,0.000800375
111,1165.33,0.68034,0.55908,0.82208,0.59179,0.82165,0.64146,0.44961,0.83908,0.60674,0.86574,0.00079625,0.00079625,0.00079625
112,1175.99,0.69631,0.52003,0.8208,0.59189,0.81702,0.6322,0.44553,0.79705,0.60729,0.86154,0.000792125,0.000792125,0.000792125
113,1185.58,0.66174,0.5033,0.81506,0.573,0.81678,0.61732,0.4339,0.81667,0.62214,0.85905,0.000788,0.000788,0.000788
114,1195.68,0.69786,0.50387,0.82433,0.60174,0.79981,0.61391,0.44844,0.78347,0.61365,0.85568,0.000783875,0.000783875,0.000783875
115,1205.46,0.65305,0.52043,0.8218,0.71758,0.8016,0.70148,0.47282,0.79872,0.62349,0.85229,0.00077975,0.00077975,0.00077975
116,1215.91,0.6126,0.48001,0.81166,0.83827,0.81116,0.82596,0.49835,0.7685,0.59384,0.84593,0.000775625,0.000775625,0.000775625
117,1226.96,0.65078,0.48329,0.81519,0.79609,0.79381,0.81747,0.4878,0.77734,0.62142,0.84664,0.0007715,0.0007715,0.0007715
118,1237.63,0.66963,0.55826,0.83128,0.78195,0.77437,0.79256,0.49845,0.81862,0.62614,0.85157,0.000767375,0.000767375,0.000767375
119,1248.49,0.65554,0.48844,0.81301,0.78956,0.74825,0.78201,0.46988,0.74834,0.64304,0.85089,0.00076325,0.00076325,0.00076325
120,1256.92,0.64841,0.50791,0.81909,0.7988,0.79789,0.79119,0.47861,0.75226,0.61916,0.84649,0.000759125,0.000759125,0.000759125
121,1267.77,0.62204,0.48518,0.81954,0.80239,0.81703,0.7904,0.47808,0.75007,0.58523,0.84559,0.000755,0.000755,0.000755
122,1278.93,0.64669,0.47148,0.81458,0.65078,0.83333,0.80671,0.50184,0.80812,0.55693,0.85231,0.000750875,0.000750875,0.000750875
123,1288.32,0.64539,0.48368,0.81291,0.60562,0.83333,0.81226,0.5304,0.78387,0.57281,0.84984,0.00074675,0.00074675,0.00074675
124,1300.77,0.65202,0.4986,0.81162,0.65805,0.83333,0.80795,0.50131,0.82123,0.58642,0.8536,0.000742625,0.000742625,0.000742625
125,1309.46,0.69087,0.52292,0.82514,0.55367,0.8279,0.68059,0.4503,0.82106,0.59105,0.85484,0.0007385,0.0007385,0.0007385
126,1319.58,0.62822,0.47703,0.81811,0.59164,0.8238,0.67707,0.45443,0.79847,0.60138,0.85425,0.000734375,0.000734375,0.000734375
127,1330.59,0.63512,0.46915,0.81138,0.60564,0.82144,0.79153,0.44326,0.80657,0.59172,0.85825,0.00073025,0.00073025,0.00073025
128,1341.02,0.60782,0.46187,0.82072,0.63808,0.82537,0.6702,0.44977,0.77833,0.56337,0.85527,0.000726125,0.000726125,0.000726125
129,1350.29,0.6202,0.46896,0.82459,0.63687,0.82987,0.67281,0.44853,0.77029,0.55635,0.85559,0.000722,0.000722,0.000722
130,1361.38,0.63902,0.48786,0.81864,0.55186,0.84989,0.80478,0.47122,0.81095,0.56971,0.85968,0.000717875,0.000717875,0.000717875
131,1370.64,0.62116,0.46112,0.81253,0.69118,0.85024,0.80475,0.48128,0.77188,0.59823,0.85525,0.00071375,0.00071375,0.00071375
132,1381.37,0.60904,0.46126,0.81263,0.58034,0.8279,0.6155,0.4487,0.75716,0.57698,0.85189,0.000709625,0.000709625,0.000709625
133,1391.1,0.59294,0.44718,0.80323,0.56203,0.8279,0.59386,0.43754,0.77446,0.58223,0.85177,0.0007055,0.0007055,0.0007055
134,1401.5,0.65045,0.47144,0.81456,0.56502,0.57222,0.59158,0.43952,0.76736,0.57775,0.85336,0.000701375,0.000701375,0.000701375
135,1410.4,0.62738,0.46867,0.81431,0.78358,0.57246,0.56057,0.40891,0.79938,0.58418,0.85982,0.00069725,0.00069725,0.00069725
136,1421.36,0.6309,0.47485,0.81804,0.8381,0.54403,0.56569,0.42679,0.77062,0.57247,0.854,0.000693125,0.000693125,0.000693125
137,1429.77,0.61722,0.50897,0.81399,0.54334,0.53925,0.57146,0.42973,0.78302,0.57453,0.85282,0.000689,0.000689,0.000689
138,1439.89,0.63572,0.55791,0.81343,0.59306,0.80827,0.60131,0.43757,0.80387,0.5995,0.854,0.000684875,0.000684875,0.000684875
139,1450.58,0.66279,0.49233,0.81608,0.59111,0.81703,0.59688,0.431,0.87123,0.64439,0.85598,0.00068075,0.00068075,0.00068075
140,1460.68,0.68806,0.51217,0.8439,0.59216,0.87258,0.59843,0.44134,0.76784,0.62584,0.84667,0.000676625,0.000676625,0.000676625
141,1469.8,0.66859,0.52074,0.81934,0.61118,0.78327,0.6614,0.42944,0.84385,0.61677,0.85296,0.0006725,0.0006725,0.0006725
142,1479.29,0.67779,0.51827,0.81954,0.56288,0.88345,0.60643,0.44398,0.78167,0.59152,0.84646,0.000668375,0.000668375,0.000668375
143,1489.4,0.70372,0.49206,0.82579,0.60646,0.88345,0.63174,0.4556,0.79783,0.59638,0.8519,0.00066425,0.00066425,0.00066425
144,1501.34,0.68938,0.48041,0.82127,0.59598,0.83487,0.62224,0.45441,0.74158,0.59439,0.85059,0.000660125,0.000660125,0.000660125
145,1510.98,0.61843,0.46081,0.81725,0.58855,0.81715,0.62103,0.439,0.7874,0.59132,0.85241,0.000656,0.000656,0.000656
