epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,245.73,0.99198,1.01849,0.88502,0.84004,0.74369,0.83991,0.64547,0.98969,1.30023,0.95225,0.0010159,0.0010159,0.0010159
75,248.944,0.93275,0.98551,0.89183,0.84004,0.74369,0.83991,0.64547,0.98969,1.30023,0.95225,0.00101025,0.00101025,0.00101025
76,251.85,1.03698,1.0066,0.8877,0.8428,0.77267,0.85823,0.65612,0.98026,1.24334,0.94281,0.00100459,0.00100459,0.00100459
77,254.788,0.97172,1.14163,0.90164,0.8428,0.77267,0.85823,0.65612,0.98026,1.24334,0.94281,0.000998928,0.000998928,0.000998928
78,257.226,0.88657,0.98714,0.87934,0.77896,0.73564,0.84299,0.66202,1.01467,1.238,0.94115,0.000993269,0.000993269,0.000993269
79,259.815,0.97571,1.02573,0.89933,0.77896,0.73564,0.84299,0.66202,1.01467,1.238,0.94115,0.00098761,0.00098761,0.00098761
80,263.562,1.00726,1.15502,0.9093,0.80589,0.7189,0.82851,0.66255,0.95651,1.24072,0.93709,0.000981952,0.000981952,0.000981952
81,266.496,1.03201,0.98441,0.89142,0.80589,0.7189,0.82851,0.66255,0.95651,1.24072,0.93709,0.000976293,0.000976293,0.000976293
82,269.057,1.09911,1.0854,0.89262,0.74993,0.70107,0.82073,0.66002,0.92296,1.23611,0.93859,0.000970634,0.000970634,0.000970634
83,271.949,0.92776,1.04835,0.89391,0.74993,0.70107,0.82073,0.66002,0.92296,1.23611,0.93859,0.000964975,0.000964975,0.000964975
84,274.528,1.00164,0.95477,0.89849,0.82859,0.66892,0.82717,0.64553,0.92679,1.20572,0.93369,0.000959316,0.000959316,0.000959316
85,277.859,0.86535,0.9635,0.87384,0.82859,0.66892,0.82717,0.64553,0.92679,1.20572,0.93369,0.000953657,0.000953657,0.000953657
86,280.527,1.07698,1.03681,0.91126,0.81838,0.7564,0.84308,0.65766,0.9731,1.15629,0.92687,0.000947999,0.000947999,0.000947999
87,283.192,0.91856,0.96966,0.87013,0.81838,0.7564,0.84308,0.65766,0.9731,1.15629,0.92687,0.00094234,0.00094234,0.00094234
88,285.936,0.94192,0.92785,0.86946,0.8496,0.78057,0.85582,0.6792,0.97612,1.09748,0.92577,0.000936681,0.000936681,0.000936681
89,289.14,0.91137,0.93456,0.86236,0.8496,0.78057,0.85582,0.6792,0.97612,1.09748,0.92577,0.000931022,0.000931022,0.000931022
90,292.371,0.98989,0.97316,0.86176,0.77581,0.63441,0.80298,0.63399,0.92259,1.03903,0.92212,0.000925363,0.000925363,0.000925363
91,295.27,0.9348,1.05681,0.8956,0.77581,0.63441,0.80298,0.63399,0.92259,1.03903,0.92212,0.000919704,0.000919704,0.000919704
92,298.002,0.96398,0.9938,0.87381,0.77574,0.65285,0.75143,0.59136,0.8938,1.019,0.9203,0.000914046,0.000914046,0.000914046
93,300.618,0.96306,1.07472,0.89932,0.77574,0.65285,0.75143,0.59136,0.8938,1.019,0.9203,0.000908387,0.000908387,0.000908387
94,304.792,0.94746,0.94782,0.87343,0.79132,0.65509,0.73759,0.59492,0.89898,1.02978,0.91977,0.000902728,0.000902728,0.000902728
95,307.66,1.03142,1.0585,0.92512,0.79132,0.65509,0.73759,0.59492,0.89898,1.02978,0.91977,0.000897069,0.000897069,0.000897069
96,310.719,1.00421,0.9284,0.85463,0.79048,0.66144,0.75192,0.55432,1.00392,1.06749,0.91787,0.00089141,0.00089141,0.00089141
97,313.398,0.9452,1.0699,0.89164,0.79048,0.66144,0.75192,0.55432,1.00392,1.06749,0.91787,0.000885751,0.000885751,0.000885751
98,316.646,0.88053,0.84268,0.85742,0.69218,0.62632,0.70422,0.51582,1.01787,1.11327,0.91929,0.000880093,0.000880093,0.000880093
99,319.807,1.01321,0.89691,0.88231,0.69218,0.62632,0.70422,0.51582,1.01787,1.11327,0.91929,0.000874434,0.000874434,0.000874434
100,322.269,0.95472,1.06472,0.89319,0.69842,0.62406,0.67065,0.50835,0.90471,1.10481,0.90698,0.000868775,0.000868775,0.000868775
101,324.638,0.95953,0.90117,0.86374,0.69842,0.62406,0.67065,0.50835,0.90471,1.10481,0.90698,0.000863116,0.000863116,0.000863116
102,327.325,0.89638,0.89504,0.86963,0.77103,0.59377,0.65837,0.50896,0.87955,1.10904,0.89983,0.000857457,0.000857457,0.000857457
103,330.691,1.04487,0.92215,0.88273,0.77103,0.59377,0.65837,0.50896,0.87955,1.10904,0.89983,0.000851798,0.000851798,0.000851798
104,333.476,0.99615,0.89697,0.85914,0.77843,0.58606,0.67684,0.52456,0.89585,1.09572,0.90141,0.000846139,0.000846139,0.000846139
105,336.286,1.07325,1.01286,0.87131,0.77843,0.58606,0.67684,0.52456,0.89585,1.09572,0.90141,0.000840481,0.000840481,0.000840481
106,338.776,0.91403,0.85217,0.8636,0.76922,0.5839,0.68802,0.52213,0.95513,1.10275,0.91243,0.000834822,0.000834822,0.000834822
107,341.431,1.04916,0.93517,0.8729,0.76922,0.5839,0.68802,0.52213,0.95513,1.10275,0.91243,0.000829163,0.000829163,0.000829163
108,345.525,0.97415,0.91845,0.88711,0.70162,0.60108,0.7111,0.56157,0.92543,1.0858,0.90864,0.000823504,0.000823504,0.000823504
109,348.112,0.97731,0.91134,0.87984,0.70162,0.60108,0.7111,0.56157,0.92543,1.0858,0.90864,0.000817845,0.000817845,0.000817845
110,350.73,0.95251,0.90205,0.88503,0.7358,0.58118,0.70608,0.55808,0.85952,1.06563,0.89457,0.000812186,0.000812186,0.000812186
111,353.401,0.94406,0.89403,0.87466,0.7358,0.58118,0.70608,0.55808,0.85952,1.06563,0.89457,0.000806528,0.000806528,0.000806528
112,356.864,0.977,0.84918,0.85697,0.70322,0.60067,0.67817,0.53783,0.85498,1.10065,0.89181,0.000800869,0.000800869,0.000800869
113,359.831,0.94458,0.96532,0.87667,0.70322,0.60067,0.67817,0.53783,0.85498,1.10065,0.89181,0.00079521,0.00079521,0.00079521
114,362.757,0.99667,0.8601,0.85561,0.69337,0.57522,0.63953,0.50424,0.91352,1.14083,0.90165,0.000789551,0.000789551,0.000789551
115,365.196,1.02543,1.0031,0.88018,0.69337,0.57522,0.63953,0.50424,0.91352,1.14083,0.90165,0.000783892,0.000783892,0.000783892
116,367.741,0.92502,0.84871,0.85735,0.70543,0.55014,0.64644,0.51562,0.87793,1.10519,0.89354,0.000778233,0.000778233,0.000778233
117,371.088,0.82475,0.87787,0.85741,0.70543,0.55014,0.64644,0.51562,0.87793,1.10519,0.89354,0.000772575,0.000772575,0.000772575
118,374.334,1.06176,0.84091,0.853,0.72878,0.56313,0.6685,0.53845,0.84533,1.03785,0.88679,0.000766916,0.000766916,0.000766916
119,377.167,0.85462,0.80593,0.85256,0.72878,0.56313,0.6685,0.53845,0.84533,1.03785,0.88679,0.000761257,0.000761257,0.000761257
120,379.949,1.05789,0.8902,0.86464,0.70832,0.5855,0.67904,0.5506,0.84356,1.01353,0.88784,0.000755598,0.000755598,0.000755598
121,382.574,0.88524,0.80276,0.84551,0.70832,0.5855,0.67904,0.5506,0.84356,1.01353,0.88784,0.000749939,0.000749939,0.000749939
122,386.251,0.85084,0.85081,0.86065,0.74395,0.57659,0.70527,0.5765,0.81472,1.00496,0.88171,0.00074428,0.00074428,0.00074428
123,388.722,0.85255,0.83022,0.85111,0.74395,0.57659,0.70527,0.5765,0.81472,1.00496,0.88171,0.000738622,0.000738622,0.000738622
124,391.43,0.85216,0.76371,0.84603,0.70358,0.81624,0.77929,0.63835,0.82569,0.99452,0.88393,0.000732963,0.000732963,0.000732963
